name,datetime,date,hour,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Bristol,2023-08-01T00:00:00,2023-08-01,0,14.8,14.8,13.4,91.83,0,0,,,,22.5,16,248,1002.1,69.5,19.4,0,0,0,,Partially cloudy,partly-cloudy-night,"03853099999,03743099999,03716099999,03644099999,03740099999,C2888"
Bristol,2023-08-01T01:00:00,2023-08-01,1,14.6,14.6,13.6,93.74,0,0,,,,22.9,13.2,248,1002,98.5,12,0,0,0,,Overcast,cloudy,"03853099999,03743099999,03716099999,03644099999,03740099999,C2888"
Bristol,2023-08-01T02:00:00,2023-08-01,2,14.5,14.5,13.5,93.82,0.181,100,rain,,,30.9,17.8,252,1002.2,83.2,19.5,0,0,0,,"Rain, Partially cloudy",rain,"03853099999,03743099999,03716099999,03644099999,03740099999,C2888"
Bristol,2023-08-01T03:00:00,2023-08-01,3,14.5,14.5,13.2,91.62,0,0,,,,27.8,18,256,1002.5,61.5,20.4,0,0,0,,Partially cloudy,partly-cloudy-night,"03853099999,03743099999,03716099999,03644099999,03740099999,C2888"
Bristol,2023-08-01T04:00:00,2023-08-01,4,14.4,14.4,12.8,90.07,0,0,,,,23.8,15.9,266,1002.4,53.3,23.4,0,0,0,,Partially cloudy,partly-cloudy-night,"03853099999,03743099999,03716099999,03644099999,03740099999,C2888"
Bristol,2023-08-01T05:00:00,2023-08-01,5,14.2,14.2,12.9,91.58,0.029,100,rain,,,20.1,13.4,257,1002.4,91.3,18.6,0,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03716099999,03644099999,03740099999,C2888"
Bristol,2023-08-01T06:00:00,2023-08-01,6,13.9,13.9,12.6,91.58,0,0,,,,22.9,15.2,260,1002.5,53.5,22.6,14,0.1,0,,Partially cloudy,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,03740099999,C2888"
Bristol,2023-08-01T07:00:00,2023-08-01,7,14.4,14.4,12.4,88.23,0,0,,,,23.5,17,264,1002.8,84.8,25.1,54,0.2,1,,Partially cloudy,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,03740099999,C2888"
Bristol,2023-08-01T08:00:00,2023-08-01,8,15.4,15.4,12.8,84.07,0,0,,,,28.7,18.9,263,1003,51,24.9,304,1.1,3,,Partially cloudy,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,03740099999,C2888"
Bristol,2023-08-01T09:00:00,2023-08-01,9,16.5,16.5,12.8,79.16,0,0,,,,27.7,21.1,266,1003.1,58.2,28.9,461,1.7,5,,Partially cloudy,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,03740099999,C2888"
