name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Bristol,2023-09-01T00:00:00,15.9,15.9,15.5,97.64,0.256,100,rain,0,0,6.4,2.6,144,1008.2,100,5.9,0,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T01:00:00,15.9,15.9,15.6,98.51,0.136,100,rain,0,0,5.7,3.6,124,1008.2,100,8.7,0,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T02:00:00,15.8,15.8,15.7,98.9,0.291,100,rain,0,0,5.9,1.6,81,1007.9,100,5,0,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T03:00:00,15.6,15.6,15.3,98.12,0.343,100,rain,0,0,7.6,5.1,13,1007.7,98.4,3.7,0,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T04:00:00,15.3,15.3,15.1,98.7,0.274,100,rain,0,0,10.5,5.7,306,1007.8,100,2.5,0,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T05:00:00,15.1,15.1,14.8,98.6,0.136,100,rain,0,0,11.6,6.6,299,1008,100,3.9,0,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T06:00:00,14.9,14.9,14.7,98.69,0.103,100,rain,0,0,8.6,5.9,353,1008,100,10.6,0,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T07:00:00,14.8,14.8,14.4,97.69,0.029,100,rain,0,0,9.9,5,329,1008.5,100,10.7,16,0.1,0,,"Rain, Overcast",rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T08:00:00,15.2,15.2,14.8,97.04,0.064,100,rain,0,0,12.1,6.6,325,1009,100,4.9,88,0.3,1,,"Rain, Overcast",rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T09:00:00,15.9,15.9,15.1,95.15,0.045,100,rain,0,0,11.3,6.1,342,1009.5,88.2,19.4,204,0.7,2,,"Rain, Partially cloudy",rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T10:00:00,16.6,16.6,15.1,90.72,0,0,,0,0,14.5,7.1,305,1010.1,95.3,12.1,267,1,3,,Overcast,cloudy,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T11:00:00,17.7,17.7,14.9,83.33,0.064,100,rain,0,0,10.6,6.6,311,1010.4,97.8,33.7,171,0.6,2,,"Rain, Overcast",rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T12:00:00,18.5,18.5,14.5,77.1,0,0,,0,0,11.8,5.7,310,1010.8,100,40.8,195,0.7,2,,Overcast,cloudy,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T13:00:00,19.1,19.1,14,72.68,0,0,,0,0,11.3,7.5,346,1011,88.2,38.8,378,1.4,4,,Partially cloudy,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T14:00:00,19.7,19.7,13.8,68.96,0,0,,0,0,13.5,8.1,289,1011.1,87.2,41.6,413,1.5,4,,Partially cloudy,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T15:00:00,20,20,14,68.23,0,0,,0,0,14.1,9.2,296,1011.4,86,39.3,367,1.3,4,,Partially cloudy,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T16:00:00,20.7,20.7,13.5,63.4,0,0,,0,0,12.1,5.6,289,1011.4,76.1,43.5,330,1.2,3,,Partially cloudy,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
Bristol,2023-09-01T17:00:00,20.3,20.3,13.1,63.28,0,0,,0,0,9.9,5.6,339,1011.7,79.5,28.1,294,1.1,3,,Partially cloudy,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999"
